controller_Tv_Lift-all-pos
Ref,Val,Package,PosX,PosY,Rot,Side,Description
J10,CONN_IR_OUT,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",126.969797,-158.786555,90.000000,top,
J11,DRY CONTACT UP DOWN,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",127.000000,-105.000000,90.000000,top,
J12,DRY CONTACT,PinHeader_1x03_P2.54mm_Vertical,120.500000,-99.000000,0.000000,top,
JP1,CAN_Jumper,PinHeader_1x02_P2.54mm_Vertical,82.568317,-109.805197,180.000000,top,
JP2,FIRMWARE_Jumper,PinHeader_1x02_P2.54mm_Vertical,78.000000,-156.540000,180.000000,top,
L1,68 uH,L_Bourns_SRR1260,73.000000,-70.275000,90.000000,top,
LED1,LED_GREEN_F3,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,72.325000,-100.250000,-90.000000,top,
LED2,LED_RED_F3,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,128.665000,-173.770000,90.000000,top,
LED3,LED_Dual_Bidirectional_GREEN_BLUE,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,128.107500,-38.305000,90.000000,top,"5mm Bi-directional Two-Color LED, Green/Blue, 2-Pin (Bi-polar / Anti-parallel connection), Luminous Intensity Standard, Clear/Diffused. STRICT MATCH REQUIRED!"
NT2,NetTie_2,NetTie-2_THT_Pad1.0mm,93.290223,-66.490270,180.000000,top,
Q1,2N3904,TO-92_Inline,121.500000,-156.270000,90.000000,top,
R1,10k,R_0805_2012Metric,113.000000,-171.000000,180.000000,top,
R2,100,R_0805_2012Metric,127.000000,-164.000000,180.000000,top,
R3,120,R_0805_2012Metric,78.500000,-108.500000,-90.000000,top,
R4,10k,R_0805_2012Metric,127.000000,-169.000000,0.000000,top,
R5,2.2k,R_0805_2012Metric,82.090167,-157.360668,0.000000,top,
R6,10k,R_0805_2012Metric,104.000000,-99.087500,90.000000,top,
R7,10k,R_0805_2012Metric,103.972070,-104.207204,-90.000000,top,
R8,470,R_0805_2012Metric,76.000000,-101.912500,-90.000000,top,
R9,100,R_0805_2012Metric,121.151585,-90.486097,0.000000,top,
R10,100,R_0805_2012Metric,121.151585,-83.486097,0.000000,top,
R11,10k,R_0805_2012Metric,121.151585,-79.986097,0.000000,top,
R12,10k,R_0805_2012Metric,121.151585,-86.986097,0.000000,top,
R13,10k,R_0805_2012Metric,108.661679,-158.981465,180.000000,top,
R14,470,R_0805_2012Metric,124.490000,-171.520000,0.000000,top,
R15,100,R_0805_2012Metric,121.087500,-67.000000,0.000000,top,
R16,100,R_0805_2012Metric,121.087500,-75.500000,0.000000,top,
R17,10k,R_0805_2012Metric,121.087500,-72.666667,0.000000,top,
R18,10k,R_0805_2012Metric,121.087500,-69.833333,0.000000,top,
R19,470,R_0805_2012Metric,111.678785,-92.423987,0.000000,top,
R20,2.4k,R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,111.150000,-30.000000,0.000000,top,
R21,1k,R_0805_2012Metric,116.000000,-156.000000,-90.000000,top,
R22,47,R_0805_2012Metric,122.500000,-161.500000,-90.000000,top,"Thick Film Resistor, 47 Ohm, SMD SIZE 1206 (3216 Metric), Power 0.25W (1/4W), ±5%. DO NOT substitute with 0805 or 0603 size due to power dissipation!"
R23,1k,R_0805_2012Metric,91.500000,-152.087500,90.000000,top,
R24,10k,R_0805_2012Metric,87.500000,-149.500000,0.000000,top,
R25,10k,R_0805_2012Metric,94.637626,-152.754377,180.000000,top,
R26,470,R_0805_2012Metric,108.587500,-161.500000,180.000000,top,"Thick Film Resistor, 470 Ohm, SMD Size 0805, 0.125W, Precision ±1%. Connected to clean signal GND."
R27,10k,R_0805_2012Metric,116.500000,-161.587500,-90.000000,top,
SW1,UP,SW_PUSH_6mm,93.826655,-103.652186,0.000000,top,
SW2,DOWN,SW_PUSH_6mm,93.826655,-95.652186,0.000000,top,
SW3,STOP,SW_PUSH_6mm,100.340898,-116.310752,180.000000,top,
SW4,Reset,SW_PUSH_6mm,67.500000,-173.250000,90.000000,top,
TP1,+24V,TestPoint_Pad_D2.0mm,86.500000,-45.000000,0.000000,top,
TP2,+5V,TestPoint_Pad_D2.0mm,98.500000,-76.000000,0.000000,top,
TP3,+3V,TestPoint_Pad_D2.0mm,107.500000,-76.000000,0.000000,top,
U1,MAX3232,SOIC-16_3.9x9.9mm_P1.27mm,111.525000,-115.825000,0.000000,top,
U2,TSOP32S40F,Vishay_MOLD-3Pin,131.334467,-168.490936,90.000000,top,
U3,SN65HVD230,SOIC-8_3.9x4.9mm_P1.27mm,84.500000,-114.500000,180.000000,top,
U4,ESP32-WROOM-32,ESP32-WROOM-32,95.820000,-165.565000,180.000000,top,
U5,LM2596S-5,TO-263-5_TabPin3,81.150000,-88.775000,-90.000000,top,
U6,AMS1117-3.3,SOT-223-3_TabPin2,105.500000,-69.200000,0.000000,top,
U7,PC817,DIP-4_W7.62mm,115.300000,-105.000000,180.000000,top,"Isolated DC-DC Converter, 5V Input to 5V Output, 1 Watt, SIP-4 package, Isolation 1.5kV DC."
U8,PC817,DIP-4_W7.62mm,115.300000,-98.275000,180.000000,top,"Isolated DC-DC Converter, 5V Input to 5V Output, 1 Watt, SIP-4 package, Isolation 1.5kV DC."
U9,NCS1S1205SC,Converter_DCDC_Murata_NCS1SxxxxSC_THT,93.977500,-82.737500,0.000000,top,
U10,VNH5019A-E,ST_MultiPowerSO-30,103.450000,-47.665000,0.000000,top,
